1.53917,8.7678,649.699,114.054
1.48665,5.5149,672.653,181.327
1.387,5.3811,720.981,185.836
1.38101,5.8091,724.107,172.144
1.3765,5.3487,726.483,186.961
1.42276,5.0434,702.859,198.279
1.37093,3.3002,729.431,303.012
1.38226,4.8427,723.451,206.496
1.37772,5.5593,725.835,179.879
1.38773,5.0515,720.602,197.961
1.46521,5.0633,682.498,197.5
1.37299,4.4372,728.339,225.367
1.38965,5.1483,719.607,194.239
1.37367,4.3284,727.976,231.032
1.38402,4.3214,722.531,231.406
1.37695,4.3864,726.243,227.977
1.38067,4.0947,724.285,244.218
1.37029,5.4313,729.772,184.118
1.38369,4.6518,722.708,214.971
1.37519,5.4116,727.172,184.788
1.39206,5.5896,718.362,178.904
1.37123,5.9803,729.274,167.216
1.37743,5.3652,725.988,186.386
1.37365,5.6132,727.988,178.152
1.3849,7.0235,722.076,142.379
1.39178,5.7147,718.507,174.987
1.39482,4.5342,716.941,220.546
